Experiment	Z spectroscopy	
Saved Date	24.08.2024 21:17:11	
User		
Date		
X (m)	356.068E-9	
Y (m)	-268.571E-9	
Z (m)	-70.16E-9	
Z offset (m)	1E-9	
Z sweep distance (m)	1E-9	
Settling time (s)	50E-3	
Integration time (s)	700E-3	
Final Z (m)	N/A	
Start time	24.08.2024 21:12:09	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Z rel (m)	Current (A)	Bias (V)	OC D1 Phase (deg)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC M1 Excitation (V)	LI Demod 1 X (A)	LI Demod 1 Y (A)
999.99997E-12	3.9271524E-12	600.00002E-3	3.5411750E-3	103.04423E-12	-552.85770E-3	288.79923E-6	-2.3413686E-12	26.580848E-15
997.49997E-12	3.8715693E-12	600.00002E-3	3.7496737E-3	102.98744E-12	-517.55488E-3	285.12799E-6	-2.3549968E-12	10.643270E-15
994.99997E-12	3.8308961E-12	600.00002E-3	378.18405E-6	102.86516E-12	-541.66120E-3	308.87249E-6	-2.3521374E-12	23.526074E-15
992.49997E-12	3.7977338E-12	600.00002E-3	1.7510584E-3	103.25570E-12	-538.11485E-3	267.45579E-6	-2.3697828E-12	9.8931068E-15
989.99997E-12	3.7646336E-12	600.00002E-3	-722.89578E-6	103.07227E-12	-543.54227E-3	288.60022E-6	-2.3564048E-12	15.874019E-15
987.49997E-12	3.7349889E-12	600.00002E-3	2.1766808E-3	103.17301E-12	-515.42830E-3	275.62087E-6	-2.3474530E-12	9.0163354E-15
984.99997E-12	3.7141939E-12	600.00002E-3	-5.5585625E-3	103.02598E-12	-562.68764E-3	288.97601E-6	-2.3586148E-12	19.925310E-15
982.49997E-12	3.6918255E-12	600.00002E-3	-245.11042E-6	103.13851E-12	-531.17007E-3	277.50735E-6	-2.3573808E-12	23.762808E-15
979.99997E-12	3.6609366E-12	600.00002E-3	2.7429361E-3	102.98663E-12	-523.43875E-3	299.30522E-6	-2.3544504E-12	21.849442E-15
977.49997E-12	3.6446306E-12	600.00002E-3	-1.0284533E-3	102.83820E-12	-540.92157E-3	306.39843E-6	-2.3563092E-12	16.717796E-15
974.99997E-12	3.6269705E-12	600.00002E-3	-1.6920711E-3	102.89461E-12	-567.38353E-3	308.20421E-6	-2.3573511E-12	6.3933733E-15
972.49997E-12	3.5998600E-12	600.00002E-3	270.76493E-6	103.22861E-12	-543.20264E-3	283.03519E-6	-2.3455964E-12	7.1106857E-15
969.99997E-12	3.5920553E-12	600.00002E-3	3.2167369E-3	102.95077E-12	-530.47287E-3	297.30084E-6	-2.3652824E-12	19.738107E-15
967.49997E-12	3.5726476E-12	600.00002E-3	1.3947889E-3	102.88950E-12	-515.84888E-3	303.77353E-6	-2.3502695E-12	20.842023E-15
964.99997E-12	3.5555382E-12	600.00002E-3	-6.2136054E-3	102.81240E-12	-571.03056E-3	304.07743E-6	-2.3576284E-12	15.548752E-15
962.49997E-12	3.5375231E-12	600.00002E-3	-1.9818854E-3	103.07374E-12	-551.45824E-3	282.41210E-6	-2.3546260E-12	29.092864E-15
959.99997E-12	3.5303199E-12	600.00002E-3	8.2564326E-3	103.09727E-12	-518.08059E-3	272.89306E-6	-2.3687777E-12	-3.9772889E-15
957.49997E-12	3.5125626E-12	600.00002E-3	1.0971042E-3	103.15345E-12	-538.66720E-3	282.17986E-6	-2.3623503E-12	16.865803E-15
954.99997E-12	3.4920209E-12	600.00002E-3	-668.36411E-6	103.12978E-12	-512.09903E-3	289.98166E-6	-2.3572630E-12	20.816104E-15
952.49997E-12	3.4914853E-12	600.00002E-3	1.4489179E-3	102.96582E-12	-550.33720E-3	296.93052E-6	-2.3375490E-12	34.896782E-15
949.99997E-12	3.4661599E-12	600.00002E-3	-87.024811E-6	103.28732E-12	-554.16179E-3	261.00717E-6	-2.3518878E-12	34.928234E-15
947.49997E-12	3.4585178E-12	600.00002E-3	33.936361E-6	103.10230E-12	-535.36379E-3	278.20945E-6	-2.3570377E-12	21.542040E-15
944.99997E-12	3.4455791E-12	600.00002E-3	-4.5217755E-3	103.23086E-12	-547.07092E-3	267.45797E-6	-2.3689915E-12	14.778285E-15
942.49997E-12	3.4307863E-12	600.00002E-3	318.61107E-6	102.98933E-12	-532.54527E-3	293.87858E-6	-2.3444502E-12	9.1568700E-15
939.99997E-12	3.4198215E-12	600.00002E-3	1.1022021E-3	103.09909E-12	-523.85288E-3	288.75866E-6	-2.3452646E-12	34.855338E-15
937.49997E-12	3.4113639E-12	600.00002E-3	2.7022557E-3	103.06885E-12	-530.78955E-3	291.31662E-6	-2.3561045E-12	15.742795E-15
934.99997E-12	3.3965964E-12	600.00002E-3	-2.7033335E-3	103.02111E-12	-555.80622E-3	283.46019E-6	-2.3465160E-12	16.236217E-15
932.49997E-12	3.3841207E-12	600.00002E-3	-927.44315E-6	103.16319E-12	-548.32119E-3	272.88153E-6	-2.3467307E-12	11.718087E-15
929.99997E-12	3.3751916E-12	600.00002E-3	440.97455E-6	103.03894E-12	-520.67935E-3	289.06795E-6	-2.3600293E-12	-359.53875E-18
927.49997E-12	3.3619422E-12	600.00002E-3	-2.0099294E-3	102.84881E-12	-553.96008E-3	296.81443E-6	-2.3642110E-12	10.518079E-15
924.99997E-12	3.3514996E-12	600.00002E-3	-1.0444848E-3	103.15192E-12	-548.86556E-3	285.44251E-6	-2.3453908E-12	38.099752E-15
922.49997E-12	3.3369429E-12	600.00002E-3	4.9815467E-3	102.98100E-12	-523.71132E-3	285.49935E-6	-2.3484712E-12	10.290407E-15
919.99997E-12	3.3294827E-12	600.00002E-3	-1.0202627E-3	102.83123E-12	-562.91074E-3	305.53711E-6	-2.3688618E-12	15.328809E-15
917.49996E-12	3.3206788E-12	600.00002E-3	-1.9922249E-3	102.56609E-12	-563.32141E-3	340.40364E-6	-2.3557844E-12	25.807781E-15
914.99996E-12	3.3118124E-12	600.00002E-3	-144.01367E-6	102.96273E-12	-560.04184E-3	308.47985E-6	-2.3530301E-12	33.668784E-15
912.49996E-12	3.3040634E-12	600.00002E-3	602.39743E-6	103.02068E-12	-531.75265E-3	282.50183E-6	-2.3379879E-12	24.281887E-15
909.99996E-12	3.2940560E-12	600.00002E-3	2.7131841E-3	103.38653E-12	-539.85703E-3	260.47611E-6	-2.3446867E-12	30.428391E-15
907.49996E-12	3.2828785E-12	600.00002E-3	-246.74341E-6	102.86216E-12	-565.61536E-3	298.05317E-6	-2.3640671E-12	23.577714E-15
904.99996E-12	3.2763113E-12	600.00002E-3	-288.61332E-6	102.94321E-12	-528.67055E-3	283.89369E-6	-2.3515406E-12	31.869960E-15
902.49996E-12	3.2684391E-12	600.00002E-3	-3.0784039E-3	103.01780E-12	-556.84203E-3	293.42747E-6	-2.3568422E-12	20.984289E-15
899.99996E-12	3.2547790E-12	600.00002E-3	3.1428065E-3	102.96581E-12	-548.25348E-3	294.96898E-6	-2.3584173E-12	24.095617E-15
897.49996E-12	3.2478948E-12	600.00002E-3	1.7586804E-3	102.96537E-12	-543.56027E-3	301.09641E-6	-2.3464464E-12	17.594723E-15
894.99996E-12	3.2428114E-12	600.00002E-3	-791.41586E-6	102.86983E-12	-568.25727E-3	303.84783E-6	-2.3299101E-12	14.647953E-15
892.49996E-12	3.2318273E-12	600.00002E-3	-3.0619157E-3	103.24105E-12	-577.34907E-3	261.64044E-6	-2.3476351E-12	23.809303E-15
889.99996E-12	3.2259675E-12	600.00002E-3	-882.74165E-6	102.84507E-12	-534.67238E-3	297.47264E-6	-2.3592287E-12	27.572229E-15
887.49996E-12	3.2189629E-12	600.00002E-3	1.0426565E-3	103.08296E-12	-542.97173E-3	290.85646E-6	-2.3561890E-12	11.824903E-15
884.99996E-12	3.2126027E-12	600.00002E-3	-1.9270944E-3	103.15571E-12	-570.39928E-3	280.14689E-6	-2.3491218E-12	-6.7292300E-15
882.49996E-12	3.2028089E-12	600.00002E-3	498.60711E-6	102.99368E-12	-557.67542E-3	294.41464E-6	-2.3467346E-12	14.918127E-15
879.99996E-12	3.1968701E-12	600.00002E-3	-317.48883E-6	102.79783E-12	-572.74032E-3	306.97184E-6	-2.3748490E-12	37.073395E-15
877.49996E-12	3.1888476E-12	600.00002E-3	-242.59332E-6	102.97449E-12	-565.46718E-3	285.01361E-6	-2.3501745E-12	37.713773E-15
874.99996E-12	3.1835771E-12	600.00002E-3	2.8137974E-3	102.85271E-12	-551.59092E-3	315.08299E-6	-2.3597114E-12	8.2898894E-15
872.49996E-12	3.1753324E-12	600.00002E-3	-4.3644267E-3	103.15543E-12	-588.21076E-3	269.76847E-6	-2.3487972E-12	43.150897E-15
869.99996E-12	3.1651528E-12	600.00002E-3	2.4772168E-3	102.96183E-12	-538.46514E-3	292.00487E-6	-2.3538472E-12	21.463476E-15
867.49996E-12	3.1595455E-12	600.00002E-3	-1.6608669E-3	102.59228E-12	-566.24269E-3	320.58189E-6	-2.3562523E-12	12.712669E-15
864.99996E-12	3.1545875E-12	600.00002E-3	-1.1613664E-3	103.06745E-12	-552.49608E-3	280.99201E-6	-2.3649179E-12	5.6755549E-15
862.49996E-12	3.1468777E-12	600.00002E-3	233.26819E-6	103.04336E-12	-559.60435E-3	293.88166E-6	-2.3660923E-12	7.9232097E-15
859.99996E-12	3.1383845E-12	600.00002E-3	-1.9918608E-3	103.09589E-12	-551.13912E-3	272.37021E-6	-2.3599278E-12	4.6481005E-15
857.49996E-12	3.1351586E-12	600.00002E-3	-4.4557536E-3	102.72419E-12	-561.20384E-3	319.15942E-6	-2.3905873E-12	6.9833614E-15
854.99996E-12	3.1244946E-12	600.00002E-3	8.2593365E-3	103.19526E-12	-529.31231E-3	271.33926E-6	-2.3573860E-12	17.374773E-15
852.49996E-12	3.1152635E-12	600.00002E-3	-2.5305238E-3	102.89412E-12	-576.01786E-3	294.53222E-6	-2.3654197E-12	19.195611E-15
849.99996E-12	3.1118697E-12	600.00002E-3	-356.36881E-6	102.98834E-12	-542.26792E-3	279.33627E-6	-2.3744223E-12	19.320254E-15
847.49996E-12	3.1062104E-12	600.00002E-3	-1.2738699E-3	102.97462E-12	-555.12208E-3	291.93645E-6	-2.3447396E-12	-1.9651798E-15
844.99996E-12	3.0959801E-12	600.00002E-3	461.67517E-6	103.29970E-12	-574.17333E-3	272.69480E-6	-2.3723092E-12	33.197054E-15
842.49996E-12	3.0935011E-12	600.00002E-3	-3.9369785E-3	103.02306E-12	-549.97104E-3	301.66202E-6	-2.3797592E-12	8.1716225E-15
839.99996E-12	3.0888501E-12	600.00002E-3	4.0188525E-3	103.31799E-12	-538.38092E-3	267.39686E-6	-2.3796880E-12	1.2040889E-15
837.49996E-12	3.0833018E-12	600.00002E-3	-29.070388E-6	103.14412E-12	-541.76694E-3	270.38544E-6	-2.3616614E-12	12.592252E-15
834.99996E-12	3.0751812E-12	600.00002E-3	-6.8191309E-3	103.02970E-12	-570.85973E-3	284.02515E-6	-2.3652256E-12	1.7762153E-15
832.49996E-12	3.0687139E-12	600.00002E-3	-831.72112E-6	103.18820E-12	-553.19917E-3	277.84164E-6	-2.3493265E-12	20.783553E-15
829.99996E-12	3.0631929E-12	600.00002E-3	300.52074E-6	103.10926E-12	-559.61168E-3	276.80781E-6	-2.3488249E-12	17.539161E-15
827.49996E-12	3.0544508E-12	600.00002E-3	272.37090E-6	102.84957E-12	-561.63931E-3	301.23405E-6	-2.3615203E-12	4.9936895E-15
824.99996E-12	3.0542817E-12	600.00002E-3	-1.8830402E-3	103.17892E-12	-556.02884E-3	284.36471E-6	-2.3506295E-12	30.531184E-15
822.49996E-12	3.0437298E-12	600.00002E-3	732.98014E-6	103.23538E-12	-556.58561E-3	257.33749E-6	-2.3584966E-12	-693.12484E-18
819.99996E-12	3.0415633E-12	600.00002E-3	-4.4744825E-3	102.91059E-12	-576.35522E-3	289.01646E-6	-2.3596210E-12	9.4935427E-15
817.49996E-12	3.0360729E-12	600.00002E-3	278.87948E-6	103.19395E-12	-573.26210E-3	279.96019E-6	-2.3667090E-12	33.281331E-15
814.99996E-12	3.0341996E-12	600.00002E-3	5.1350226E-3	102.98682E-12	-548.61146E-3	291.47827E-6	-2.3672678E-12	2.4583433E-15
812.49996E-12	3.0276289E-12	600.00002E-3	1.2494955E-3	102.84689E-12	-573.43942E-3	301.59095E-6	-2.3629412E-12	11.200925E-15
